宗地坐落,土地用途,宗地面积(平方米),挂牌起始价(万元),lon,lat,交通_地铁数量(1.5km),交通_地铁最近距离(m),交通_地铁站名,交通_公交数量(0.5km),交通_公交最近距离(m),交通_停车数量(1km),交通_停车最近距离(m),交通_火车数量(5km),交通_火车最近距离(m),交通_火车站名,交通_高速数量(5km),交通_高速最近距离(m),交通_便利评分(0-10),生活_银行数量(1km),生活_银行最近距离(m),生活_超市数量(1km),生活_超市最近距离(m),生活_餐饮数量(0.5km),生活_餐饮最近距离(m),生活_医院数量(3km),生活_医院最近距离(m),生活_医院名称,生活_药店数量(1km),生活_药店最近距离(m),生活_便利评分(0-10),教育_高校数量(5km),教育_高校最近距离(m),教育_高校名称,教育_中小学数量(2km),教育_中小学最近距离(m),教育_资源评分(0-10),产业_物流园数量(5km),产业_物流最近距离(m),产业_工业园数量(5km),产业_工业园最近距离(m),产业_配套评分(0-10),商业_写字楼数量(2km),商业_写字楼最近距离(m),商业_酒店数量(2km),商业_酒店最近距离(m),商业_环境评分(0-10),context,价格_万元/㎡
石墨镇石墨村东侧C47-67地块,一类工业用地(M1),40611.0,6515.169,113.27143,23.13534,12,613.0,小北地铁站A口|小北(地铁站)|纪念堂地铁站C口,5,253.0,16,16,16,1878.0,广州站10候车室|广州站退票窗6-7|广州站9票务相关,1,3701.0,9.6,25,79.0,15,125.0,25,8.0,25,242.0,洪桥街社区卫生服务中心|中国人民解放军广州后勤医院门诊|民生医院(越秀北路),25,107.0,9.0,25,704.0,中南财经政法大学MPA广东教学中心|广东理工职业学院|广东开放大学,25,209.0,9.0,25,3,8,538.0,8.0,25,8.0,25,75.0,7.0,该地块位于石墨镇石墨村东侧C47-67地块，用途为一类工业用地(M1)，面积40611平方米，起始价6515万元。交通：1.5公里内有12个地铁站，最近613米；500米内有5个公交站；5公里内有16个火车站；5公里内有1个高速出入口。交通便利评分9.6分。生活配套：500米内有25家餐饮；1公里内有15家超市；3公里内有25家医院。5公里内有25所高校。周边5公里内有25个物流园区、8个工业园区。单位面积价格约0.1604万元/平方米。,0.1604286769594445
石墨镇石墨村东侧C49-60地块,一类工业用地(M1),40612.0,15313.654,113.27143,23.13534,12,613.0,小北地铁站A口|小北(地铁站)|纪念堂地铁站C口,5,253.0,16,16,16,1878.0,广州站10候车室|广州站退票窗6-7|广州站9票务相关,1,3701.0,9.6,25,79.0,15,125.0,25,8.0,25,242.0,洪桥街社区卫生服务中心|中国人民解放军广州后勤医院门诊|民生医院(越秀北路),25,107.0,9.0,25,704.0,中南财经政法大学MPA广东教学中心|广东理工职业学院|广东开放大学,25,209.0,9.0,25,3,8,538.0,8.0,25,8.0,25,75.0,7.0,该地块位于石墨镇石墨村东侧C49-60地块，用途为一类工业用地(M1)，面积40612平方米，起始价15314万元。交通：1.5公里内有12个地铁站，最近613米；500米内有5个公交站；5公里内有16个火车站；5公里内有1个高速出入口。交通便利评分9.6分。生活配套：500米内有25家餐饮；1公里内有15家超市；3公里内有25家医院。5公里内有25所高校。周边5公里内有25个物流园区、8个工业园区。单位面积价格约0.3771万元/平方米。,0.37707214616369544
广州市花都区花都大道北段1号（TZ）地块,一类工业用地(M1),40424.0,7265.0,113.22658,23.41116,2,1125.0,花都广场地铁站C口|花都广场(地铁站),2,489.0,11,99,6,1907.0,花城街站(A出站口)|自动售票处(广州北站)|广州北站无障碍窗口6,0,,7.1,18,399.0,9,263.0,25,152.0,25,643.0,锦东社区卫生服务站|花城东社区卫生服务中心|广州市中西医结合医院住院大楼,25,573.0,9.0,8,1365.0,北京大学广东校友会活动基地|广东培正学院继续教育学院|秀全外国语学校,7,580.0,9.0,25,121,0,,4.0,25,139.0,25,137.0,7.0,该地块位于广州市花都区花都大道北段1号（TZ）地块，用途为一类工业用地(M1)，面积40424平方米，起始价7265万元。交通：1.5公里内有2个地铁站，最近1125米；500米内有2个公交站；5公里内有6个火车站。交通便利评分7.1分。生活配套：500米内有25家餐饮；1公里内有9家超市；3公里内有25家医院。5公里内有8所高校。周边5公里内有25个物流园区。单位面积价格约0.1797万元/平方米。,0.1797199683356422
从化区到花都区花都大道西段1号（TZ）地块,二类工业用地(M2),23712.6,2955.0,113.23725,23.42946,1,492.0,花城街(地铁站),6,235.0,17,159,2,319.0,花城街站(C进站口)|花山镇站(A南出站口),0,,9.1,1,881.0,8,490.0,25,104.0,7,860.0,花都区花城街罗仙村卫生站|花都区新雅街团结村卫生分站|平龙新村社区卫生服务中心,20,199.0,9.0,2,1118.0,北京大学广东校友会活动基地|广东培正学院继续教育学院,7,1155.0,9.0,25,129,0,,4.0,17,170.0,25,139.0,7.0,该地块位于从化区到花都区花都大道西段1号（TZ）地块，用途为二类工业用地(M2)，面积23713平方米，起始价2955万元。交通：1.5公里内有1个地铁站，最近492米；500米内有6个公交站；5公里内有2个火车站。交通便利评分9.1分。生活配套：500米内有25家餐饮；1公里内有8家超市；3公里内有7家医院。5公里内有2所高校。周边5公里内有25个物流园区。单位面积价格约0.1246万元/平方米。,0.12461729207256902
中新广州知识城第一代信息技术创新园，南华三路以南，科联东路以东ZSCXN-B3-13-1地块,一类工业用地(M1),14828.0,617.0,113.62775,23.29492,0,,,1,205.0,3,260,1,3730.0,镇龙站(建设中),0,,3.3,1,669.0,1,725.0,15,206.0,2,1390.0,中新医院|广东龙城医院,3,239.0,8.5,7,1825.0,理工学院|广东农工商职业技术学院(增城校区)|广东农工商职业技术学院艺术与设计学院,3,269.0,9.0,25,142,0,,4.0,7,1193.0,25,225.0,7.0,该地块位于中新广州知识城第一代信息技术创新园，南华三路以南，科联东路以东ZSCXN-B3-13-1地块，用途为一类工业用地(M1)，面积14828平方米，起始价617万元。交通：500米内有1个公交站；5公里内有1个火车站。交通便利评分3.3分。生活配套：500米内有15家餐饮；1公里内有1家超市；3公里内有2家医院。5公里内有7所高校。周边5公里内有25个物流园区。单位面积价格约0.0416万元/平方米。,0.04161046668465066
广州市花都区许厂高速南路、新联路以西狮岭时尚智造产业园一期C,一类工业用地M1,19646.44,3892.0,113.1828,23.43172,0,,,0,,16,326,3,1213.0,乐同站|狮岭站(出站口)|军田站,0,,2.6,0,,9,498.0,4,283.0,4,1012.0,广州市花都区秀全社区卫生服务中心(总院)|花都区合成社区卫生服务中心|玮艺健康管理有限公司,10,520.0,7.0,25,637.0,广州工商学院-物流与公共事务管理系|广州工商学院(广州校区)-外语学院|广州工商学院音乐学院,7,715.0,9.0,25,458,0,,4.0,25,636.0,25,502.0,7.0,该地块位于广州市花都区许厂高速南路、新联路以西狮岭时尚智造产业园一期C，用途为一类工业用地M1，面积19646平方米，起始价3892万元。交通：5公里内有3个火车站。交通便利评分2.6分。生活配套：500米内有4家餐饮；1公里内有9家超市；3公里内有4家医院。5公里内有25所高校。周边5公里内有25个物流园区。单位面积价格约0.1981万元/平方米。,0.19810204800462577
广州市花都区许广高速南路、新联路以西跨岭时尚智造产业园一期B,一类工业用地M1,8715.53,1052.0,113.1828,23.43172,0,,,0,,16,326,3,1213.0,乐同站|狮岭站(出站口)|军田站,0,,2.6,0,,9,498.0,4,283.0,4,1012.0,广州市花都区秀全社区卫生服务中心(总院)|花都区合成社区卫生服务中心|玮艺健康管理有限公司,10,520.0,7.0,25,637.0,广州工商学院-物流与公共事务管理系|广州工商学院(广州校区)-外语学院|广州工商学院音乐学院,7,715.0,9.0,25,458,0,,4.0,25,636.0,25,502.0,7.0,该地块位于广州市花都区许广高速南路、新联路以西跨岭时尚智造产业园一期B，用途为一类工业用地M1，面积8716平方米，起始价1052万元。交通：5公里内有3个火车站。交通便利评分2.6分。生活配套：500米内有4家餐饮；1公里内有9家超市；3公里内有4家医院。5公里内有25所高校。周边5公里内有25个物流园区。单位面积价格约0.1207万元/平方米。,0.12070407651628759
广州市花都区许广高速南路、新联路以西两岭时尚智造产业园一期B,一类工业用地M1,8715.53,1052.0,113.1828,23.43172,0,,,0,,16,326,3,1213.0,乐同站|狮岭站(出站口)|军田站,0,,2.6,0,,9,498.0,4,283.0,4,1012.0,广州市花都区秀全社区卫生服务中心(总院)|花都区合成社区卫生服务中心|玮艺健康管理有限公司,10,520.0,7.0,25,637.0,广州工商学院-物流与公共事务管理系|广州工商学院(广州校区)-外语学院|广州工商学院音乐学院,7,715.0,9.0,25,458,0,,4.0,25,636.0,25,502.0,7.0,该地块位于广州市花都区许广高速南路、新联路以西两岭时尚智造产业园一期B，用途为一类工业用地M1，面积8716平方米，起始价1052万元。交通：5公里内有3个火车站。交通便利评分2.6分。生活配套：500米内有4家餐饮；1公里内有9家超市；3公里内有4家医院。5公里内有25所高校。周边5公里内有25个物流园区。单位面积价格约0.1207万元/平方米。,0.12070407651628759
广州市花都区许广高速南、新联路以西侧临时尚智造产业园一期A,一类工业用地M1,21796.72,3328.0,113.1828,23.43172,0,,,0,,16,326,3,1213.0,乐同站|狮岭站(出站口)|军田站,0,,2.6,0,,9,498.0,4,283.0,4,1012.0,广州市花都区秀全社区卫生服务中心(总院)|花都区合成社区卫生服务中心|玮艺健康管理有限公司,10,520.0,7.0,25,637.0,广州工商学院-物流与公共事务管理系|广州工商学院(广州校区)-外语学院|广州工商学院音乐学院,7,715.0,9.0,25,458,0,,4.0,25,636.0,25,502.0,7.0,该地块位于广州市花都区许广高速南、新联路以西侧临时尚智造产业园一期A，用途为一类工业用地M1，面积21797平方米，起始价3328万元。交通：5公里内有3个火车站。交通便利评分2.6分。生活配套：500米内有4家餐饮；1公里内有9家超市；3公里内有4家医院。5公里内有25所高校。周边5公里内有25个物流园区。单位面积价格约0.1527万元/平方米。,0.15268352302548271
荔湾区石围塘A70107048地块,二类居住用地B2,9007.07,50574.0,113.21913,23.11756,11,824.0,坦尾地铁站I口|坦尾地铁站C口|坦尾(地铁站),2,482.0,19,174,1,1592.0,石围塘站,1,3583.0,9.1,6,31.0,6,129.0,25,95.0,25,585.0,荔湾区桥中街道社区卫生服务中心|石围塘街社区卫生服务中心|广州中医药大学第三附属医院芳村分院急诊,25,107.0,9.0,22,936.0,广东工贸职业技术学院(荔湾校区)|广州医科大学第三临床学院|广州市第一职工商学院,15,367.0,9.0,25,93,2,3900.0,8.0,25,438.0,25,152.0,7.0,该地块位于荔湾区石围塘A70107048地块，用途为二类居住用地B2，面积9007平方米，起始价50574万元。交通：1.5公里内有11个地铁站，最近824米；500米内有2个公交站；5公里内有1个火车站；5公里内有1个高速出入口。交通便利评分9.1分。生活配套：500米内有25家餐饮；1公里内有6家超市；3公里内有25家医院。5公里内有22所高校。周边5公里内有25个物流园区、2个工业园区。单位面积价格约5.6149万元/平方米。,5.614922499769626
